X,temp
12/09/2019 0:00,22.53
12/09/2019 0:05,22.53
12/09/2019 0:10,22.5
12/09/2019 0:15,22.43
12/09/2019 0:20,22.4
12/09/2019 0:25,22.36
12/09/2019 0:30,22.46
12/09/2019 0:35,22.46
12/09/2019 0:40,22.53
12/09/2019 0:45,22.57
12/09/2019 0:50,22.93
12/09/2019 0:55,22.97
12/09/2019 1:00,22.93
12/09/2019 1:05,23.13
12/09/2019 1:10,23.1
12/09/2019 1:15,23.27
12/09/2019 1:20,23.33
12/09/2019 1:25,23.27
12/09/2019 1:30,23.2
12/09/2019 1:35,23.16
12/09/2019 1:40,23.1
12/09/2019 1:45,23.2
12/09/2019 1:50,23.36
12/09/2019 1:55,23.3
12/09/2019 2:00,23.2
12/09/2019 2:05,23.23
12/09/2019 2:10,23.16
12/09/2019 2:15,23.13
12/09/2019 2:20,23.1
12/09/2019 2:25,22.96
12/09/2019 2:30,23.03
12/09/2019 2:35,22.9
12/09/2019 2:40,22.86
12/09/2019 2:45,22.8
12/09/2019 2:50,22.66
12/09/2019 2:55,22.46
12/09/2019 3:00,22.33
12/09/2019 3:05,22.23
12/09/2019 3:10,22.2
12/09/2019 3:15,22
12/09/2019 3:20,21.83
12/09/2019 3:25,21.56
12/09/2019 3:30,21.5
12/09/2019 3:35,21.36
12/09/2019 3:40,21.3
12/09/2019 3:45,21.26
12/09/2019 3:50,21.3
12/09/2019 3:55,21.17
12/09/2019 4:00,21.1
12/09/2019 4:05,21.03
12/09/2019 4:10,21.03
12/09/2019 4:15,20.96
12/09/2019 4:20,20.93
12/09/2019 4:25,20.8
12/09/2019 4:30,20.7
12/09/2019 4:35,20.63
12/09/2019 4:40,20.56
12/09/2019 4:45,20.53
12/09/2019 4:50,20.5
12/09/2019 4:55,20.47
12/09/2019 5:00,20.4
12/09/2019 5:05,20.36
12/09/2019 5:10,20.36
12/09/2019 5:15,20.37
12/09/2019 5:20,20.33
12/09/2019 5:25,20.3
12/09/2019 5:30,20.16
12/09/2019 5:35,20.2
12/09/2019 5:40,20.13
12/09/2019 5:45,20.1
12/09/2019 5:50,20
12/09/2019 5:55,19.96
12/09/2019 6:00,19.9
12/09/2019 6:05,19.86
12/09/2019 6:10,19.96
12/09/2019 6:15,19.87
12/09/2019 6:20,19.86
12/09/2019 6:25,19.9
12/09/2019 6:30,19.9
12/09/2019 6:35,19.93
12/09/2019 6:40,20
12/09/2019 6:45,20.06
12/09/2019 6:50,20.23
12/09/2019 6:55,20.46
12/09/2019 7:00,20.56
12/09/2019 7:05,20.6
12/09/2019 7:10,20.8
12/09/2019 7:15,21.16
12/09/2019 7:20,21.3
12/09/2019 7:25,21.56
12/09/2019 7:30,21.73
12/09/2019 7:35,21.9
12/09/2019 7:40,22.1
12/09/2019 7:45,22.1
12/09/2019 7:50,22.13
12/09/2019 7:55,22.27
12/09/2019 8:00,22.46
12/09/2019 8:05,22.47
12/09/2019 8:10,22.5
12/09/2019 8:15,22.63
12/09/2019 8:20,22.86
12/09/2019 8:25,23.03
12/09/2019 8:30,23.06
12/09/2019 8:35,23.16
12/09/2019 8:40,23.07
12/09/2019 8:45,23.43
12/09/2019 8:50,23.73
12/09/2019 8:55,23.96
12/09/2019 9:00,23.9
12/09/2019 9:05,23.83
